IDMesa,Freguesia,Partido,Votos Camara
2,Gambia Pontes e Alto da Guerra,Partido F,60
2,Gambia Pontes e Alto da Guerra,Partido G,7
2,Gambia Pontes e Alto da Guerra,Partido A,25
2,Gambia Pontes e Alto da Guerra,Partido E,9
2,Gambia Pontes e Alto da Guerra,Partido C,322
2,Gambia Pontes e Alto da Guerra,Partido B,9
2,Gambia Pontes e Alto da Guerra,Partido D,2
3,Gambia Pontes e Alto da Guerra,Partido F,169
3,Gambia Pontes e Alto da Guerra,Partido G,7
3,Gambia Pontes e Alto da Guerra,Partido A,41
3,Gambia Pontes e Alto da Guerra,Partido E,10
3,Gambia Pontes e Alto da Guerra,Partido C,386
3,Gambia Pontes e Alto da Guerra,Partido B,23
3,Gambia Pontes e Alto da Guerra,Partido D,3
4,Uniao de Freguesias de Setubal,Partido A,78
4,Uniao de Freguesias de Setubal,Partido E,31
4,Uniao de Freguesias de Setubal,Partido C,255
4,Uniao de Freguesias de Setubal,Partido F,213
4,Uniao de Freguesias de Setubal,Partido G,12
4,Uniao de Freguesias de Setubal,Partido B,10
4,Uniao de Freguesias de Setubal,Partido D,3
5,Uniao de Freguesias de Setubal,Partido A,97
5,Uniao de Freguesias de Setubal,Partido E,36
5,Uniao de Freguesias de Setubal,Partido C,264
5,Uniao de Freguesias de Setubal,Partido F,134
5,Uniao de Freguesias de Setubal,Partido G,4
5,Uniao de Freguesias de Setubal,Partido B,6
5,Uniao de Freguesias de Setubal,Partido D,3
6,Sado,Partido A,20
6,Sado,Partido F,105
6,Sado,Partido G,11
6,Sado,Partido E,11
6,Sado,Partido C,453
6,Sado,Partido B,0
6,Sado,Partido D,0
7,Sado,Partido A,11
7,Sado,Partido F,36
7,Sado,Partido G,0
7,Sado,Partido E,4
7,Sado,Partido C,223
7,Sado,Partido B,5
7,Sado,Partido D,0
8,Uniao de Freguesias de Setubal,Partido A,120
8,Uniao de Freguesias de Setubal,Partido E,27
8,Uniao de Freguesias de Setubal,Partido C,193
8,Uniao de Freguesias de Setubal,Partido G,0
8,Uniao de Freguesias de Setubal,Partido F,173
8,Uniao de Freguesias de Setubal,Partido B,9
8,Uniao de Freguesias de Setubal,Partido D,8
9,Uniao de Freguesias de Setubal,Partido A,74
9,Uniao de Freguesias de Setubal,Partido E,22
9,Uniao de Freguesias de Setubal,Partido C,228
9,Uniao de Freguesias de Setubal,Partido G,1
9,Uniao de Freguesias de Setubal,Partido F,108
9,Uniao de Freguesias de Setubal,Partido B,5
9,Uniao de Freguesias de Setubal,Partido D,2
10,Uniao de Freguesias de Setubal,Partido A,150
10,Uniao de Freguesias de Setubal,Partido G,7
10,Uniao de Freguesias de Setubal,Partido F,175
10,Uniao de Freguesias de Setubal,Partido C,199
10,Uniao de Freguesias de Setubal,Partido E,41
10,Uniao de Freguesias de Setubal,Partido B,13
10,Uniao de Freguesias de Setubal,Partido D,1
11,Uniao de Freguesias de Setubal,Partido A,142
11,Uniao de Freguesias de Setubal,Partido G,11
11,Uniao de Freguesias de Setubal,Partido F,154
11,Uniao de Freguesias de Setubal,Partido C,220
11,Uniao de Freguesias de Setubal,Partido E,31
11,Uniao de Freguesias de Setubal,Partido B,9
11,Uniao de Freguesias de Setubal,Partido D,2
12,Uniao de Freguesias de Azeitao,Partido C,257
12,Uniao de Freguesias de Azeitao,Partido G,4
12,Uniao de Freguesias de Azeitao,Partido E,31
12,Uniao de Freguesias de Azeitao,Partido A,117
12,Uniao de Freguesias de Azeitao,Partido F,170
12,Uniao de Freguesias de Azeitao,Partido B,9
12,Uniao de Freguesias de Azeitao,Partido D,5
13,Uniao de Freguesias de Azeitao,Partido C,191
13,Uniao de Freguesias de Azeitao,Partido G,9
13,Uniao de Freguesias de Azeitao,Partido E,35
13,Uniao de Freguesias de Azeitao,Partido A,119
13,Uniao de Freguesias de Azeitao,Partido F,108
13,Uniao de Freguesias de Azeitao,Partido B,7
13,Uniao de Freguesias de Azeitao,Partido D,4
14,Sao Sebastiao,Partido A,103
14,Sao Sebastiao,Partido G,4
14,Sao Sebastiao,Partido C,234
14,Sao Sebastiao,Partido E,15
14,Sao Sebastiao,Partido F,215
14,Sao Sebastiao,Partido B,15
14,Sao Sebastiao,Partido D,1
15,Sao Sebastiao,Partido A,113
15,Sao Sebastiao,Partido G,4
15,Sao Sebastiao,Partido C,246
15,Sao Sebastiao,Partido E,24
15,Sao Sebastiao,Partido F,163
15,Sao Sebastiao,Partido B,10
15,Sao Sebastiao,Partido D,3
16,Uniao de Freguesias de Azeitao,Partido G,8
16,Uniao de Freguesias de Azeitao,Partido C,517
16,Uniao de Freguesias de Azeitao,Partido A,85
16,Uniao de Freguesias de Azeitao,Partido F,254
16,Uniao de Freguesias de Azeitao,Partido E,12
16,Uniao de Freguesias de Azeitao,Partido B,21
16,Uniao de Freguesias de Azeitao,Partido D,1
17,Uniao de Freguesias de Azeitao,Partido G,6
17,Uniao de Freguesias de Azeitao,Partido C,410
17,Uniao de Freguesias de Azeitao,Partido A,165
17,Uniao de Freguesias de Azeitao,Partido F,164
17,Uniao de Freguesias de Azeitao,Partido E,19
17,Uniao de Freguesias de Azeitao,Partido B,23
17,Uniao de Freguesias de Azeitao,Partido D,3
18,Sao Sebastiao,Partido A,74
18,Sao Sebastiao,Partido G,6
18,Sao Sebastiao,Partido C,252
18,Sao Sebastiao,Partido E,19
18,Sao Sebastiao,Partido F,124
18,Sao Sebastiao,Partido B,6
18,Sao Sebastiao,Partido D,0
19,Sao Sebastiao,Partido A,51
19,Sao Sebastiao,Partido G,7
19,Sao Sebastiao,Partido C,204
19,Sao Sebastiao,Partido E,6
19,Sao Sebastiao,Partido F,58
19,Sao Sebastiao,Partido B,12
19,Sao Sebastiao,Partido D,2
20,Sao Sebastiao,Partido A,96
20,Sao Sebastiao,Partido G,0
20,Sao Sebastiao,Partido C,240
20,Sao Sebastiao,Partido E,21
20,Sao Sebastiao,Partido F,145
20,Sao Sebastiao,Partido B,4
20,Sao Sebastiao,Partido D,0
21,Sao Sebastiao,Partido A,97
21,Sao Sebastiao,Partido G,5
21,Sao Sebastiao,Partido C,332
21,Sao Sebastiao,Partido E,27
21,Sao Sebastiao,Partido F,126
21,Sao Sebastiao,Partido B,6
21,Sao Sebastiao,Partido D,3
22,Sao Sebastiao,Partido A,74
22,Sao Sebastiao,Partido G,3
22,Sao Sebastiao,Partido C,257
22,Sao Sebastiao,Partido E,23
22,Sao Sebastiao,Partido F,197
22,Sao Sebastiao,Partido B,13
22,Sao Sebastiao,Partido D,4
23,Sao Sebastiao,Partido A,72
23,Sao Sebastiao,Partido G,3
23,Sao Sebastiao,Partido C,212
23,Sao Sebastiao,Partido E,18
23,Sao Sebastiao,Partido F,136
23,Sao Sebastiao,Partido B,11
23,Sao Sebastiao,Partido D,1
24,Sao Sebastiao,Partido A,70
24,Sao Sebastiao,Partido G,7
24,Sao Sebastiao,Partido C,286
24,Sao Sebastiao,Partido E,17
24,Sao Sebastiao,Partido F,95
24,Sao Sebastiao,Partido B,8
24,Sao Sebastiao,Partido D,1
25,Sao Sebastiao,Partido A,70
25,Sao Sebastiao,Partido G,4
25,Sao Sebastiao,Partido C,285
25,Sao Sebastiao,Partido E,19
25,Sao Sebastiao,Partido F,109
25,Sao Sebastiao,Partido B,6
25,Sao Sebastiao,Partido D,2
26,Sao Sebastiao,Partido A,68
26,Sao Sebastiao,Partido G,6
26,Sao Sebastiao,Partido C,261
26,Sao Sebastiao,Partido E,7
26,Sao Sebastiao,Partido F,66
26,Sao Sebastiao,Partido B,2
26,Sao Sebastiao,Partido D,3
27,Sao Sebastiao,Partido A,72
27,Sao Sebastiao,Partido G,3
27,Sao Sebastiao,Partido C,307
27,Sao Sebastiao,Partido E,19
27,Sao Sebastiao,Partido F,177
27,Sao Sebastiao,Partido B,14
27,Sao Sebastiao,Partido D,2
28,Sao Sebastiao,Partido A,68
28,Sao Sebastiao,Partido G,9
28,Sao Sebastiao,Partido C,310
28,Sao Sebastiao,Partido E,32
28,Sao Sebastiao,Partido F,87
28,Sao Sebastiao,Partido B,6
28,Sao Sebastiao,Partido D,1
29,Sao Sebastiao,Partido A,73
29,Sao Sebastiao,Partido G,6
29,Sao Sebastiao,Partido C,289
29,Sao Sebastiao,Partido E,23
29,Sao Sebastiao,Partido F,175
29,Sao Sebastiao,Partido B,18
29,Sao Sebastiao,Partido D,1
30,Sao Sebastiao,Partido A,62
30,Sao Sebastiao,Partido G,7
30,Sao Sebastiao,Partido C,314
30,Sao Sebastiao,Partido E,25
30,Sao Sebastiao,Partido F,97
30,Sao Sebastiao,Partido B,6
30,Sao Sebastiao,Partido D,3
31,Sao Sebastiao,Partido A,100
31,Sao Sebastiao,Partido G,11
31,Sao Sebastiao,Partido C,260
31,Sao Sebastiao,Partido E,21
31,Sao Sebastiao,Partido F,196
31,Sao Sebastiao,Partido B,13
31,Sao Sebastiao,Partido D,1
32,Sao Sebastiao,Partido A,85
32,Sao Sebastiao,Partido G,8
32,Sao Sebastiao,Partido C,278
32,Sao Sebastiao,Partido E,13
32,Sao Sebastiao,Partido F,113
32,Sao Sebastiao,Partido B,8
32,Sao Sebastiao,Partido D,0
33,Sao Sebastiao,Partido A,55
33,Sao Sebastiao,Partido G,7
33,Sao Sebastiao,Partido C,282
33,Sao Sebastiao,Partido E,18
33,Sao Sebastiao,Partido F,214
33,Sao Sebastiao,Partido B,7
33,Sao Sebastiao,Partido D,1
34,Sao Sebastiao,Partido A,76
34,Sao Sebastiao,Partido G,3
34,Sao Sebastiao,Partido C,251
34,Sao Sebastiao,Partido E,14
34,Sao Sebastiao,Partido F,125
34,Sao Sebastiao,Partido B,6
34,Sao Sebastiao,Partido D,2
35,Sao Sebastiao,Partido A,55
35,Sao Sebastiao,Partido G,14
35,Sao Sebastiao,Partido C,297
35,Sao Sebastiao,Partido E,18
35,Sao Sebastiao,Partido F,92
35,Sao Sebastiao,Partido B,4
35,Sao Sebastiao,Partido D,0
36,Sao Sebastiao,Partido A,16
36,Sao Sebastiao,Partido G,3
36,Sao Sebastiao,Partido C,74
36,Sao Sebastiao,Partido E,9
36,Sao Sebastiao,Partido F,15
36,Sao Sebastiao,Partido B,0
36,Sao Sebastiao,Partido D,0
37,Sao Sebastiao,Partido A,43
37,Sao Sebastiao,Partido G,3
37,Sao Sebastiao,Partido C,272
37,Sao Sebastiao,Partido E,20
37,Sao Sebastiao,Partido F,194
37,Sao Sebastiao,Partido B,10
37,Sao Sebastiao,Partido D,1
38,Sao Sebastiao,Partido A,59
38,Sao Sebastiao,Partido G,2
38,Sao Sebastiao,Partido C,288
38,Sao Sebastiao,Partido E,15
38,Sao Sebastiao,Partido F,134
38,Sao Sebastiao,Partido B,19
38,Sao Sebastiao,Partido D,1
39,Sao Sebastiao,Partido A,58
39,Sao Sebastiao,Partido G,3
39,Sao Sebastiao,Partido C,257
39,Sao Sebastiao,Partido E,9
39,Sao Sebastiao,Partido F,94
39,Sao Sebastiao,Partido B,9
39,Sao Sebastiao,Partido D,0
40,Sao Sebastiao,Partido A,24
40,Sao Sebastiao,Partido G,2
40,Sao Sebastiao,Partido C,111
40,Sao Sebastiao,Partido E,0
40,Sao Sebastiao,Partido F,39
40,Sao Sebastiao,Partido B,0
40,Sao Sebastiao,Partido D,0
41,Sao Sebastiao,Partido A,62
41,Sao Sebastiao,Partido G,5
41,Sao Sebastiao,Partido C,340
41,Sao Sebastiao,Partido E,15
41,Sao Sebastiao,Partido F,132
41,Sao Sebastiao,Partido B,12
41,Sao Sebastiao,Partido D,1
42,Sao Sebastiao,Partido A,23
42,Sao Sebastiao,Partido G,4
42,Sao Sebastiao,Partido C,121
42,Sao Sebastiao,Partido E,2
42,Sao Sebastiao,Partido F,39
42,Sao Sebastiao,Partido B,2
42,Sao Sebastiao,Partido D,0
43,Sao Sebastiao,Partido A,59
43,Sao Sebastiao,Partido G,6
43,Sao Sebastiao,Partido C,345
43,Sao Sebastiao,Partido E,12
43,Sao Sebastiao,Partido F,143
43,Sao Sebastiao,Partido B,10
43,Sao Sebastiao,Partido D,1
44,Sao Sebastiao,Partido A,57
44,Sao Sebastiao,Partido G,3
44,Sao Sebastiao,Partido C,331
44,Sao Sebastiao,Partido E,22
44,Sao Sebastiao,Partido F,166
44,Sao Sebastiao,Partido B,6
44,Sao Sebastiao,Partido D,2
45,Sao Sebastiao,Partido A,51
45,Sao Sebastiao,Partido G,7
45,Sao Sebastiao,Partido C,286
45,Sao Sebastiao,Partido E,31
45,Sao Sebastiao,Partido F,106
45,Sao Sebastiao,Partido B,13
45,Sao Sebastiao,Partido D,0
46,Sao Sebastiao,Partido A,62
46,Sao Sebastiao,Partido G,15
46,Sao Sebastiao,Partido C,328
46,Sao Sebastiao,Partido E,31
46,Sao Sebastiao,Partido F,76
46,Sao Sebastiao,Partido B,7
46,Sao Sebastiao,Partido D,0
47,Sao Sebastiao,Partido A,74
47,Sao Sebastiao,Partido G,7
47,Sao Sebastiao,Partido C,272
47,Sao Sebastiao,Partido E,27
47,Sao Sebastiao,Partido F,87
47,Sao Sebastiao,Partido B,16
47,Sao Sebastiao,Partido D,1
48,Sao Sebastiao,Partido A,0
48,Sao Sebastiao,Partido G,0
48,Sao Sebastiao,Partido C,0
48,Sao Sebastiao,Partido E,0
48,Sao Sebastiao,Partido F,0
48,Sao Sebastiao,Partido B,0
48,Sao Sebastiao,Partido D,0
49,Sao Sebastiao,Partido A,60
49,Sao Sebastiao,Partido G,2
49,Sao Sebastiao,Partido C,377
49,Sao Sebastiao,Partido E,17
49,Sao Sebastiao,Partido F,204
49,Sao Sebastiao,Partido B,6
49,Sao Sebastiao,Partido D,0
50,Sao Sebastiao,Partido A,46
50,Sao Sebastiao,Partido G,4
50,Sao Sebastiao,Partido C,319
50,Sao Sebastiao,Partido E,19
50,Sao Sebastiao,Partido F,122
50,Sao Sebastiao,Partido B,9
50,Sao Sebastiao,Partido D,1
51,Sao Sebastiao,Partido A,44
51,Sao Sebastiao,Partido G,4
51,Sao Sebastiao,Partido C,299
51,Sao Sebastiao,Partido E,18
51,Sao Sebastiao,Partido F,93
51,Sao Sebastiao,Partido B,5
51,Sao Sebastiao,Partido D,1
52,Sao Sebastiao,Partido A,48
52,Sao Sebastiao,Partido G,5
52,Sao Sebastiao,Partido C,267
52,Sao Sebastiao,Partido E,17
52,Sao Sebastiao,Partido F,81
52,Sao Sebastiao,Partido B,8
52,Sao Sebastiao,Partido D,2
53,Sao Sebastiao,Partido A,41
53,Sao Sebastiao,Partido G,6
53,Sao Sebastiao,Partido C,294
53,Sao Sebastiao,Partido E,8
53,Sao Sebastiao,Partido F,96
53,Sao Sebastiao,Partido B,3
53,Sao Sebastiao,Partido D,0
54,Sao Sebastiao,Partido A,38
54,Sao Sebastiao,Partido G,4
54,Sao Sebastiao,Partido C,241
54,Sao Sebastiao,Partido E,12
54,Sao Sebastiao,Partido F,67
54,Sao Sebastiao,Partido B,4
54,Sao Sebastiao,Partido D,0
55,Sao Sebastiao,Partido A,7
55,Sao Sebastiao,Partido G,0
55,Sao Sebastiao,Partido C,80
55,Sao Sebastiao,Partido E,5
55,Sao Sebastiao,Partido F,20
55,Sao Sebastiao,Partido B,1
55,Sao Sebastiao,Partido D,0
56,Sao Sebastiao,Partido A,10
56,Sao Sebastiao,Partido G,2
56,Sao Sebastiao,Partido C,119
56,Sao Sebastiao,Partido E,5
56,Sao Sebastiao,Partido F,42
56,Sao Sebastiao,Partido B,3
56,Sao Sebastiao,Partido D,0
57,Sao Sebastiao,Partido A,40
57,Sao Sebastiao,Partido G,7
57,Sao Sebastiao,Partido C,357
57,Sao Sebastiao,Partido E,15
57,Sao Sebastiao,Partido F,113
57,Sao Sebastiao,Partido B,10
57,Sao Sebastiao,Partido D,1
58,Sao Sebastiao,Partido A,68
58,Sao Sebastiao,Partido G,2
58,Sao Sebastiao,Partido C,172
58,Sao Sebastiao,Partido E,12
58,Sao Sebastiao,Partido F,98
58,Sao Sebastiao,Partido B,9
58,Sao Sebastiao,Partido D,2
59,Sao Sebastiao,Partido A,42
59,Sao Sebastiao,Partido G,3
59,Sao Sebastiao,Partido C,218
59,Sao Sebastiao,Partido E,12
59,Sao Sebastiao,Partido F,98
59,Sao Sebastiao,Partido B,6
59,Sao Sebastiao,Partido D,0
60,Uniao de Freguesias de Setubal,Partido A,77
60,Uniao de Freguesias de Setubal,Partido E,15
60,Uniao de Freguesias de Setubal,Partido C,227
